timestamp,temperature_c,humidity_pct,light
2026-07-28T17:38:56.636621,26.0,59.0,611
2026-07-28T17:38:58.672048,26.0,59.0,610
2026-07-28T17:39:00.708698,26.0,59.0,609
2026-07-28T17:39:02.745992,26.0,59.0,609
2026-07-28T17:39:04.780797,26.0,59.0,610
2026-07-28T17:39:06.816954,26.0,59.0,609
2026-07-28T17:39:08.863738,26.0,59.0,610
2026-07-28T17:39:10.896670,26.0,59.0,610
2026-07-28T17:39:12.929380,26.0,59.0,611
2026-07-28T17:39:14.965574,26.0,59.0,611
2026-07-28T17:39:17.014345,26.0,59.0,610
2026-07-28T17:39:19.035488,26.0,59.0,611
2026-07-28T17:39:21.083649,26.0,59.0,610
2026-07-28T17:39:23.114602,26.0,59.0,610
2026-07-28T17:39:25.158091,26.0,59.0,614
2026-07-28T17:39:27.191957,26.0,59.0,614
2026-07-28T17:39:29.228563,26.0,59.0,612
2026-07-28T17:39:31.265827,26.0,59.0,609
2026-07-28T17:39:33.299328,26.0,59.0,612
2026-07-28T17:39:35.325827,26.0,59.0,609
2026-07-28T17:39:37.374407,26.0,59.0,610
2026-07-28T17:39:39.414137,26.0,59.0,612
2026-07-28T17:39:41.447585,26.0,59.0,611
2026-07-28T17:39:43.479726,26.0,59.0,612
2026-07-28T17:39:45.521686,26.0,59.0,609
2026-07-28T17:39:47.554378,26.0,59.0,611
2026-07-28T17:39:49.594670,26.0,59.0,610
2026-07-28T17:39:51.636648,26.0,59.0,610
2026-07-28T17:39:53.676821,26.0,59.0,613
2026-07-28T17:39:55.699777,26.0,59.0,611
2026-07-28T17:39:57.742904,26.0,59.0,614
2026-07-28T17:39:59.774620,26.0,59.0,611
2026-07-28T17:40:01.817202,26.0,59.0,613
2026-07-28T17:40:03.863947,26.0,59.0,612
2026-07-28T17:40:05.890774,26.0,59.0,610
2026-07-28T17:40:07.931859,26.0,59.0,608
2026-07-28T17:40:09.965112,26.0,59.0,607
2026-07-28T17:40:11.997584,26.1,59.0,608
